id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107782860,412810114287,4128111200100630023000927,경기도,고양시 덕양구,동산동,고양대로1940번길,47,0,,1동,0,,,2.0,0.0,47,41281,4376026,112,4128111200100630023,126.89424036302499,37.643484856075474,,단독주택,70.66,113.83,2.0,0.0,20210624,20210725,20220804,True,pnu,0.1,58.3,1.86,0.0319,0.8031,False,CHG_00005,468.19,NEW_BUILDING,사용승인일=2022-08-04이 T1~T2 사이 - 신축 확정(건축물대장 근거),,,,,,,,,0.8031,1.0,0.4508,MEDIUM,-1.0635298836409446,0.015,COLD_95
lt_c_spbd.4107782919,412810118235,4128111200100560021002594,경기도,고양시 덕양구,동산동,고양대로1978번길,45,0,,,0,,,3.0,1.0,45,41281,4376028,112,4128111200100560021,126.89918458841784,37.64465131292086,,,,,,,,,,False,,1.0,313.22,204.33,0.6523,0.859,False,CHG_00003,-365.4,NEW_BUILDING,"change_ratio=0.65 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-365.4(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.859,1.0,0.8393,HIGH,0.21164582142510097,0.667,NOT_SIG
lt_c_spbd.4107782918,412810118236,4128111200100560181000001,경기도,고양시 덕양구,동산동,고양대로1978번길,43,0,,,0,,,3.0,1.0,43,41281,4376028,112,4128111200100560181,126.89919511474633,37.644821590516514,,,,,,,,,,False,,1.0,235.67,230.8,0.9793,0.859,False,CHG_00003,-365.4,NEW_BUILDING,"change_ratio=0.98 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-365.4(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.859,1.0,0.9374,HIGH,0.16695324263274824,0.865,NOT_SIG
lt_c_spbd.4107782917,412810094269,4128111200100560002000001,경기도,고양시 덕양구,동산동,고양대로1978번길,38,0,,,0,,,3.0,0.0,38,41281,4376028,112,4128111200100560002,126.89892464009284,37.64493319993912,,제2종근린생활시설,180.15,494.92,3.0,0.0,20160909,20161007,20170517,True,pnu,0.6,190.55,190.55,1.0,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=2017-05-17로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.8636,HIGH,0.21164582142510097,0.689,NOT_SIG
lt_c_spbd.4107792266,412810026425,4128111200100560085002540,경기도,고양시 덕양구,동산동,고양대로1978번길,24,17,,,0,,,1.0,0.0,24-17,41281,4376028,112,4128111200100560085,126.89873468837717,37.64496602072349,,단독주택,97.47,97.47,1.0,0.0,20000720,20000821,20001125,True,pnu,0.6,109.87,5.85,0.0532,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=2000-11-25로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.5796,MEDIUM,0.21164582142510097,0.391,NOT_SIG
lt_c_spbd.4107792264,412810093179,4128111200100560001002785,경기도,고양시 덕양구,동산동,고양대로1978번길,24,15,,,0,,,4.0,0.0,24-15,41281,4376028,112,4128111200100560001,126.89881995019914,37.645144041507066,,공동주택,203.71,493.55,4.0,0.0,20160627,20160711,20161209,True,pnu,0.6,243.5,104.29,0.4283,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=2016-12-09로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.6921,MEDIUM,-0.2663422359910391,0.385,NOT_SIG
lt_c_spbd.4107782911,412810016654,4128111200100560023033712,경기도,고양시 덕양구,동산동,고양대로1978번길,33,0,,,0,,,1.0,0.0,33,41281,4376028,112,4128111200100560023,126.89924450938243,37.645128320439994,,단독주택,45.74,45.74,1.0,0.0, , ,19840808,True,pnu,0.6,14.27,14.27,0.9999,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-08-08로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.8636,HIGH,-0.1004604445812479,0.571,NOT_SIG
lt_c_spbd.4107782915,412810016653,4128111200100560023033711,경기도,고양시 덕양구,동산동,고양대로1978번길,33,0,,,0,,,1.0,0.0,33,41281,4376028,112,4128111200100560023,126.89918889943947,37.645136440847786,,단독주택,45.74,45.74,1.0,0.0, , ,19840808,True,pnu,0.6,6.28,6.28,0.9998,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-08-08로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.8635,HIGH,-0.1004604445812479,0.571,NOT_SIG
lt_c_spbd.4107782916,412810093183,4128111200100560135000001,경기도,고양시 덕양구,동산동,고양대로1978번길,36,0,,,0,,,4.0,0.0,36,41281,4376028,112,4128111200100560135,126.898999695529,37.645154295795066,,공동주택,199.43,472.63,4.0,0.0,20160607,20160615,20161122,True,pnu,0.6,170.51,93.63,0.5491,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=2016-11-22로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.7283,HIGH,-0.2663422359910391,0.357,NOT_SIG
lt_c_spbd.4107782912,412810016651,4128111200100560023002717,경기도,고양시 덕양구,동산동,고양대로1978번길,33,0,,,0,,,1.0,0.0,33,41281,4376028,112,4128111200100560023,126.89923431268653,37.64518036790983,,단독주택,45.74,45.74,1.0,0.0, , ,19840808,True,pnu,0.6,64.84,64.37,0.9928,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-08-08로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.8614,HIGH,-0.1004604445812479,0.577,NOT_SIG
lt_c_spbd.4107782914,412810016652,4128111200100560023033710,경기도,고양시 덕양구,동산동,고양대로1978번길,33,0,,,0,,,1.0,0.0,33,41281,4376028,112,4128111200100560023,126.89926659593122,37.64523664287283,,단독주택,45.74,45.74,1.0,0.0, , ,19840808,True,pnu,0.6,11.2,1.2,0.107,0.859,False,CHG_00003,-365.4,EXPANSION_OR_RECONSTRUCTION,사용승인일=1984-08-08로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.859,1.0,0.5957,MEDIUM,-0.1004604445812479,0.849,NOT_SIG
lt_c_spbd.4107782913,412810016691,4128111200200100002033752,경기도,고양시 덕양구,동산동,고양대로1978번길,33,0,,,0,,,1.0,0.0,33,41281,4376028,112,4128111200100560023,126.89925694929937,37.64526686262871,,단독주택,45.74,45.74,1.0,0.0, , ,19840808,True,pnu,0.6,8.1,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.1004604445812479,0.663,NOT_SIG
lt_c_spbd.4107805134,412810082609,4128111200101600008000001,경기도,고양시 덕양구,동산동,세솔로,25,0,동산마을 22단지 호반베르디움,2207동,0,,,8.0,0.0,25,41281,3194080,112,4128111200103650000,126.89000214887001,37.6447557498398,,제1종근린생활시설,256.0,256.0,1.0,0.0,20091014,20091119,20121002,True,pnu,0.6,1115.97,45.98,0.0412,0.608,False,CHG_00004,-254.96,EXPANSION_OR_RECONSTRUCTION,사용승인일=2012-10-02로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.608,1.0,0.4756,MEDIUM,-0.7217058344334566,0.077,COLD_90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4001.23,0.0,0.7092,,CHG_00001,-596.93,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00001,0.5884,2022-05-17,2026-05-31,ensemble,2591.98,1995.06,0.7092,0.3,0.5137,MEDIUM,-0.7217058344334566,0.071,COLD_90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2600.8,0.0,0.6082,,CHG_00002,-110.21,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00002,0.5519,2022-05-17,2026-05-31,ensemble,2441.42,2331.22,0.6082,0.3,0.4733,MEDIUM,-0.9507321199461367,0.021,COLD_95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.6659,,CHG_00006,325.7,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00006,0.5815,2022-05-17,2026-05-31,ensemble,2048.15,2373.85,0.6659,0.3,0.4964,MEDIUM,-0.3260096103746056,0.459,NOT_SIG
