id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4108584905,415950111653,4159011900101240003000001,경기도,화성시 병점구,기산동,동탄지성로255번길,31,19,,,0,,,1.0,0.0,31-19,41595,4430321,104,4159510400101240003,127.04839291806763,37.216898760825416,,,,,,,,,,False,,1.0,39.4,34.38,0.8726,0.6016,False,CHG_00051,1584.98,NEW_BUILDING,"change_ratio=0.87 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6016,1.0,0.8024,HIGH,0.6505045350255864,0.079,HOT_90
lt_c_spbd.4108584899,415950030142,4159011900001210000025557,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04826568570695,37.21756338633229,,,,,,,,,,False,,1.0,62.94,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,0.6505045350255864,0.003,HOT_99
lt_c_spbd.4108584900,415950030141,4159011900001210000025542,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04821887489192,37.21759361514798,,,,,,,,,,False,,1.0,81.34,23.15,0.2846,0.6272,False,CHG_00050,-197.6,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.28 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.6363,MEDIUM,0.6505045350255864,0.039,HOT_95
lt_c_spbd.4108584904,415950030144,4159011900004490000025580,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04836437873341,37.217600928114734,,,,,,,,,,False,,1.0,15.05,0.48,0.0317,0.6272,False,CHG_00050,-197.6,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.03 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.5604,MEDIUM,0.6505045350255864,0.033,HOT_95
lt_c_spbd.4108584903,415950030143,4159011900001210001025541,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04803943099024,37.21765722527095,,,,,,,,,,False,,1.0,159.71,113.13,0.7084,0.6272,False,CHG_00050,-197.6,NEW_BUILDING,"change_ratio=0.71 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.7634,HIGH,0.6505045350255864,0.079,HOT_90
lt_c_spbd.4108584898,415950030139,4159011900001210000025488,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04808135284165,37.21770612437608,,,,,,,,,,False,,1.0,161.05,157.08,0.9754,0.6272,False,CHG_00050,-197.6,NEW_BUILDING,"change_ratio=0.98 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.8435,HIGH,0.6505045350255864,0.111,NOT_SIG
lt_c_spbd.4108584897,415950033056,4159011900001210000025501,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04813447490363,37.21774903846075,,,,,,,,,,False,,1.0,167.11,167.11,1.0,0.6272,False,CHG_00050,-197.6,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.8509,HIGH,0.6505045350255864,0.111,NOT_SIG
lt_c_spbd.4108584901,415950030140,4159011900001210000025516,경기도,화성시 병점구,기산동,동탄지성로255번길,31,14,,,0,,,1.0,0.0,31-14,41595,4430321,104,4159510400101210000,127.04818676347664,37.21777018058292,,,,,,,,,,False,,1.0,99.35,99.35,1.0,0.6272,False,CHG_00050,-197.6,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-197.6(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6272,1.0,0.8509,HIGH,0.6505045350255864,0.111,NOT_SIG
lt_c_spbd.4108586639,415950111687,4159011600102190004000001,경기도,화성시 병점구,진안동,병점중앙로,283,15,,,0,,,1.0,0.0,283-15,41595,3210053,101,4159510100102190004,127.0400446501973,37.219181327548185,,,,,,,,,,False,,1.0,62.22,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,-0.02388515860511398,0.537,NOT_SIG
lt_c_spbd.4108584269,415950507737,4159510100106920030000001,경기도,화성시 병점구,진안동,진안북길,6,11,,,0,,,1.0,0.0,6-11,41595,4431225,101,4159510100106920030,127.03666879620917,37.2203613551101,,,,,,,,,,False,,1.0,186.8,117.77,0.6305,0.6882,False,CHG_00046,-90.08,NEW_BUILDING,"change_ratio=0.63 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-90.1(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6882,1.0,0.7644,HIGH,-0.1340114185241975,0.421,NOT_SIG
lt_c_spbd.4108585120,415950032298,4159011600000700000030997,경기도,화성시 병점구,진안동,진안북길,26,7,,,0,,,1.0,0.0,26-7,41595,4431225,101,4159510100100700000,127.03699379348504,37.222604191756076,,동물및식물관련시설,876.8,913.9,2.0,0.0,20060712,20070312,20080526,True,road_address,0.6,330.13,61.4,0.186,0.7559,False,CHG_00039,-241.55,EXPANSION_OR_RECONSTRUCTION,사용승인일=2008-05-26로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7559,1.0,0.5782,MEDIUM,0.04748307294438924,0.887,NOT_SIG
lt_c_spbd.4108584281,415950032305,4159011600100830000000001,경기도,화성시 병점구,진안동,진안북길,36,0,,,0,,,1.0,0.0,36,41595,4431225,101,4159510100100830000,127.03648785711752,37.22281795173315,,,,,,,,,,False,,1.0,215.59,0.06,0.0003,0.7559,False,CHG_00039,-241.55,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.00 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-241.6(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.7559,1.0,0.6024,MEDIUM,0.04748307294438924,0.921,NOT_SIG
lt_c_spbd.4108582587,415950490399,4159012100104490001000001,경기도,화성시 병점구,반정동,경기대로1250번길,24,0,,,0,,,1.0,0.0,24,41595,4430037,106,4159510600104490001,127.02806024377996,37.226163162475245,,,,,,,,,,False,,1.0,263.74,13.43,0.0509,0.9711,False,CHG_00035,323.35,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.05 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.9711,1.0,0.7037,HIGH,0.8229109370833753,0.013,HOT_95
lt_c_spbd.4108582594,415950029893,4159012100003580006030886,경기도,화성시 병점구,반정동,경기대로1250번길,68,0,,,0,,,1.0,0.0,68,41595,4430037,106,4159510600103580006,127.03266562161016,37.227496667122836,,,,,,,,,,False,,1.0,271.14,271.14,1.0,0.8642,False,CHG_00031,78.89,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.8642,1.0,0.9457,HIGH,0.6862554749871815,0.103,NOT_SIG
lt_c_spbd.4108582592,415950029892,4159012100003580006030885,경기도,화성시 병점구,반정동,경기대로1250번길,68,0,,,0,,,1.0,0.0,68,41595,4430037,106,4159510600103580006,127.03279739688051,37.227540501867956,,,,,,,,,,False,,1.0,305.0,305.0,1.0,0.8642,False,CHG_00031,78.89,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.8642,1.0,0.9457,HIGH,0.6862554749871815,0.103,NOT_SIG
lt_c_spbd.4108582593,415950029894,4159012100003580006030887,경기도,화성시 병점구,반정동,경기대로1250번길,68,0,,,0,,,1.0,0.0,68,41595,4430037,106,4159510600103580006,127.03264084845816,37.22779570629616,,,,,,,,,,False,,1.0,94.8,94.8,1.0,0.8642,False,CHG_00031,78.89,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.8642,1.0,0.9457,HIGH,0.6862554749871815,0.103,NOT_SIG
lt_c_spbd.4108587132,415950135761,4159012100100930013000001,경기도,화성시 병점구,반정동,반정로,95,75,,,0,,,1.0,0.0,95-75,41595,3210136,106,4159510600100930013,127.03485500026665,37.23389574374067,,동물및식물관련시설,198.0,198.0,1.0,0.0,20180621, ,20180827,True,pnu,0.6,234.24,0.04,0.0002,0.5883,False,CHG_00005,-212.71,EXPANSION_OR_RECONSTRUCTION,사용승인일=2018-08-27로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5883,1.0,0.4554,MEDIUM,-0.10213628139955999,0.919,NOT_SIG
lt_c_spbd.4108585835,415950125408,4159012100101920015000001,경기도,화성시 병점구,반정동,진안북길94번길,35,0,,,0,,,1.0,0.0,35,41595,4431228,106,4159510600101920015,127.03927236992917,37.22777749162472,,제1종근린생활시설,292.6,355.74,2.0,0.0,20161111,20161123,20170202,True,pnu,0.6,287.97,105.3,0.3657,0.7597,False,CHG_00030,9.81,EXPANSION_OR_RECONSTRUCTION,사용승인일=2017-02-02로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7597,1.0,0.6336,MEDIUM,-0.3843348224422118,0.163,NOT_SIG
lt_c_spbd.4108585834,415950031001,4159012100001920014022378,경기도,화성시 병점구,반정동,진안북길94번길,33,0,,,0,,,2.0,0.0,33,41595,4431228,106,4159510600101920014,127.03909908089311,37.22782176858338,,단독주택,103.98,165.64,2.0,0.0, , ,20040317,True,pnu,0.6,111.06,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.3843348224422118,0.629,NOT_SIG
lt_c_spbd.4108578934,415950126782,4159012000107800001000001,경기도,화성시 병점구,반월동,동탄지성로,376,0,,,0,,,1.0,0.0,376,41595,3177017,105,4159510500102570000,127.04808914226783,37.227405657850404,,창고시설,966.69,990.59,1.0,0.0,20180501,20181005,20190411,True,pnu,0.6,1168.86,34.48,0.0295,0.8679,False,CHG_00034,420.12,EXPANSION_OR_RECONSTRUCTION,사용승인일=2019-04-11로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.8679,1.0,0.576,MEDIUM,-0.3696335013365094,0.241,NOT_SIG
lt_c_spbd.4108585836,415950031000,4159012100001920013022611,경기도,화성시 병점구,반정동,진안북길94번길,39,0,,,0,,,1.0,0.0,39,41595,4431228,106,4159510600101920013,127.03960260035791,37.227784801654636,,창고시설,190.0,190.0,1.0,0.0, , ,20040219,True,pnu,0.6,174.1,71.95,0.4133,0.7597,False,CHG_00030,9.81,EXPANSION_OR_RECONSTRUCTION,사용승인일=2004-02-19로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.7597,1.0,0.6479,MEDIUM,-0.3843348224422118,0.181,NOT_SIG
