id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107798673,412810032782,4128111300100280001033282,경기도,고양시 덕양구,용두동,용두로,124,6,,,0,,,1.0,0.0,124-6,41281,3192055,113,4128111300100280003,126.8940988456448,37.6203098490469,,단독주택,49.68,49.68,1.0,0.0, , , ,True,road_address,0.6,14.44,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.523013572626026,0.353,NOT_SIG
lt_c_spbd.4107798681,412810032775,4128111300100280001003221,경기도,고양시 덕양구,용두동,용두로,124,14,,,0,,,1.0,0.0,124-14,41281,3192055,113,4128111300100280001,126.89426135613171,37.62034829070812,,단독주택,57.47,57.47,1.0,0.0, , ,19851110,True,pnu,0.6,51.25,22.68,0.4425,0.5549,False,CHG_00054,-294.04,EXPANSION_OR_RECONSTRUCTION,사용승인일=1985-11-10로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5549,1.0,0.5747,MEDIUM,-0.523013572626026,0.123,NOT_SIG
lt_c_spbd.4107798682,412810032783,4128111300100280001033283,경기도,고양시 덕양구,용두동,용두로,124,14,,,0,,,1.0,0.0,124-14,41281,3192055,113,4128111300100280001,126.89420456923395,37.62036988061083,,단독주택,57.47,57.47,1.0,0.0, , ,19851110,True,pnu,0.6,5.52,5.52,1.0,0.5549,False,CHG_00054,-294.04,EXPANSION_OR_RECONSTRUCTION,사용승인일=1985-11-10로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.5549,1.0,0.742,HIGH,-0.523013572626026,0.073,COLD_90
lt_c_spbd.4107802937,412810028387,4128111300100040006027007,경기도,고양시 덕양구,용두동,용두로,176,79,,,0,,,1.0,0.0,176-79,41281,3192055,113,4128111300100040006,126.89929759027572,37.619499810082445,,,,,,,,,,False,,1.0,157.37,157.37,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802938,412810028388,4128111300100040006027008,경기도,고양시 덕양구,용두동,용두로,176,79,,,0,,,1.0,0.0,176-79,41281,3192055,113,4128111300100040006,126.89922078118411,37.6195344234352,,,,,,,,,,False,,1.0,159.97,159.97,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802941,412810080698,4128111300100020017000001,경기도,고양시 덕양구,용두동,용두로,176,82,,,0,,,1.0,0.0,176-82,41281,3192055,113,4128111300100020017,126.89929692930895,37.61999081748323,,,,,,,,,,False,,1.0,78.24,78.24,0.9999,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802939,412810028386,4128111300100020097009436,경기도,고양시 덕양구,용두동,용두로,176,79,,,0,,,1.0,0.0,176-79,41281,3192055,113,4128111300100040006,126.89955416534093,37.6201055040778,,,,,,,,,,False,,1.0,37.91,37.91,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802940,412810028385,4128111300100020093002646,경기도,고양시 덕양구,용두동,용두로,176,80,,,0,,,1.0,0.0,176-80,41281,3192055,113,4128111300100020025,126.89924136483296,37.620213787292336,,,,,,,,,,False,,1.0,85.24,85.24,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802936,412810028381,4128111300100020024002645,경기도,고양시 덕양구,용두동,용두로,176,78,,,0,,,1.0,0.0,176-78,41281,3192055,113,4128111300100020024,126.89919729108885,37.620290114085385,,제2종근린생활시설,60.54,131.1,1.0,1.0,19930311, ,19931207,True,pnu,0.6,86.69,86.69,1.0,1.0,False,CHG_00059,-68.52,EXPANSION_OR_RECONSTRUCTION,사용승인일=1993-12-07로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.92,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802934,412810028380,4128111300100020020034231,경기도,고양시 덕양구,용두동,용두로,176,76,,,0,,,1.0,0.0,176-76,41281,3192055,113,4128111300100020019,126.89912007051726,37.62037729516953,,,,,,,,,,False,,1.0,54.63,54.63,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
