id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,change_type,classification_note,change_id,mean_change_score,t1_date,t2_date,method,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107796615,412810094901,4128111300101920001000001,경기도,고양시 덕양구,용두동,화랑로286번길,42,65,,,0,,,1.0,0.0,42-65,41281,4376360,113,4128111300101920001,126.88319065633405,37.61958741101533,,제1종근린생활시설,197.01,197.01,1.0,0.0,20170123,20170329,20170816,True,pnu,0.6,178.91,80.64,0.4507,1.0,False,CHG_00056,EXPANSION_OR_RECONSTRUCTION,사용승인일=2017-08-16로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.7552,HIGH,0.25768659276656986,0.499,NOT_SIG
lt_c_spbd.4107801020,412810035031,4128111300101760002032995,경기도,고양시 덕양구,용두동,화랑로286번길,44,84,,,0,,,1.0,0.0,44-84,41281,4376360,113,4128111300101760002,126.88378454124738,37.61988114395214,,단독주택,72.56,72.56,1.0,0.0,19850627, ,19860304,True,pnu,0.6,41.78,17.47,0.4181,1.0,False,CHG_00056,EXPANSION_OR_RECONSTRUCTION,사용승인일=1986-03-04로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.7454,HIGH,0.39126318727542486,0.237,NOT_SIG
lt_c_spbd.4107796612,412810078150,4128111300101910001000001,경기도,고양시 덕양구,용두동,화랑로286번길,42,57,,,0,,,1.0,0.0,42-57,41281,4376360,113,4128111300101910001,126.88330430858926,37.619903894894215,,,,,,,,,,False,,1.0,134.62,134.62,1.0,1.0,False,CHG_00056,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.33322045858656085,0.541,NOT_SIG
lt_c_spbd.4107801015,412810035029,4128111300101760001003292,경기도,고양시 덕양구,용두동,화랑로286번길,44,80,,,0,,,1.0,0.0,44-80,41281,4376360,113,4128111300101760001,126.88395639043037,37.61990917428487,,단독주택,66.24,66.24,1.0,1.0, , , ,True,pnu,0.6,120.96,33.32,0.2754,1.0,False,CHG_00056,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.28 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.7026,HIGH,0.4667100325126735,0.145,NOT_SIG
lt_c_spbd.4107801016,412810035028,4128111300101760000003291,경기도,고양시 덕양구,용두동,화랑로286번길,44,82,,,0,,,1.0,0.0,44-82,41281,4376360,113,4128111300101760000,126.88386161774667,37.6199650526809,,단독주택,91.08,91.08,1.0,1.0,19880109, ,19880630,True,pnu,0.6,104.21,104.21,1.0,1.0,False,CHG_00056,EXPANSION_OR_RECONSTRUCTION,사용승인일=1988-06-30로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.92,HIGH,0.4667100325126735,0.237,NOT_SIG
lt_c_spbd.4107782625,412810079315,4128111300101010001000001,경기도,고양시 덕양구,용두동,화랑로286번길,269,0,,,0,,,1.0,0.0,269,41281,4376360,113,4128111300101010001,126.89204101192618,37.618940395986996,,,,,,,,,,False,,1.0,81.37,81.37,1.0,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.3426186815226891,0.517,NOT_SIG
lt_c_spbd.4107798920,412810078130,4128111300101080001000004,경기도,고양시 덕양구,용두동,봉산로,307,38,,,0,,,1.0,0.0,307-38,41281,3192030,113,4128111300101080001,126.89220545954362,37.619536130666006,,,,,,,,,,False,,1.0,138.18,138.18,1.0,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.34505525783946306,0.513,NOT_SIG
lt_c_spbd.4107798919,412810078129,4128111300101080001000003,경기도,고양시 덕양구,용두동,봉산로,307,38,,,0,,,1.0,0.0,307-38,41281,3192030,113,4128111300101080001,126.89225794982883,37.61964326461694,,,,,,,,,,False,,1.0,113.72,113.72,1.0,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.34505525783946306,0.513,NOT_SIG
lt_c_spbd.4107776309,412810006458,4128111300101100000001351,경기도,고양시 덕양구,용두동,용두로,107,0,,,0,,,1.0,0.0,107,41281,3192055,113,4128111300101100000,126.89225779981004,37.62029258967698,,단독주택,195.0,191.6,1.0,0.0, , ,20001120,True,pnu,0.6,138.6,24.82,0.1791,1.0,False,CHG_00065,EXPANSION_OR_RECONSTRUCTION,사용승인일=2000-11-20로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,1.0,1.0,0.6737,MEDIUM,0.3426186815226891,0.279,NOT_SIG
lt_c_spbd.4107776307,412810082796,4128111300101110000000001,경기도,고양시 덕양구,용두동,용두로,103,0,,,0,,,1.0,0.0,103,41281,3192055,113,4128111300101110000,126.89189324595827,37.62035751458828,,제2종근린생활시설,158.58,373.31,3.0,0.0,20110525,20110706,20121016,True,pnu,0.6,186.49,0.0,0.0,,True,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,0.0,0.3,0.15,LOW,0.3426186815226891,0.051,HOT_90
