title,agency,notice_number,notice_date,url,confirms,checked_at
화성진안 공공주택지구 지정 및 지형도면 고시,국토교통부,국토교통부 고시 제2024-81호,2024-02-07,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=582667,사업명·위치·면적·사업시행자·지구지정,2026-09-08
화성진안 공공주택지구 지정 고시 중 토지세목조서 정정,국토교통부,국토교통부 고시 제2024-152호,2024-03-20,https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=584925,필지조서 정정,2026-09-08
화성진안 공공주택지구 조성사업 환경영향평가서 초안 공람,화성특례시·한국토지주택공사,공람 공고(환경영향평가 초안),2025-09-29,https://www.suwon.go.kr/web/board/BD_board.view.do?bbsCd=1042&seq=20250929162435735,"2025-02-25 지구계획 승인신청, 사업기간 2024–2032, 환경영향평가 단계",2026-09-08
