방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
21,HIGH,CHG_00025,EXPANSION_OR_RECONSTRUCTION,1,1,86.72,4159510600104490001,202490.27,514112.86,127.02806,37.226163,STRADDLES_BASELINE,C_WEAK,0,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
22,HIGH,CHG_00019,NEW_BUILDING,2,2,406.16,4159510600103580006,202905.09,514263.69,127.032735,37.227521,STRADDLES_BASELINE,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
23,HIGH,CHG_00011,EXPANSION_OR_RECONSTRUCTION,6,6,911.39,4159510600102420001;4159510600102420002,203318.52,514598.76,127.037395,37.230539,STRADDLES_BASELINE,NONE,6,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
24,HIGH,CHG_00005,EXPANSION_OR_RECONSTRUCTION,6,6,263.7,4159510600101420001;4159510600101420002;4159510600101810006,203495.07,514870.34,127.039386,37.232985,STRADDLES_BASELINE,NONE,6,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
25,HIGH,CHG_00001,EXPANSION_OR_RECONSTRUCTION,22,22,2363.37,4159510600101180001;4159510600101180005;4159510600101180007;4159510600101200001;4159510600101210000;4159510600101210002;4159510600101220011;4159510600101230006;4159510600101240016;4159510600101240017;4159510600101240029,203671.94,514985.82,127.04138,37.234025,STRADDLES_BASELINE,B_MODERATE,22,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 후보 22건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
26,MEDIUM,CHG_00006,NEW_BUILDING,1,1,529.02,4159510600101470000,203964.87,514870.37,127.04468,37.232984,POST_BASELINE_PERMITTED,NONE,1,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
27,MEDIUM,CHG_00007,NEW_BUILDING,3,3,225.21,4159510500103110088,204017.68,514744.96,127.045274,37.231853,POST_BASELINE_PERMITTED,NONE,3,0,신축 여부 및 착공·사용승인 이력 확인,,,,,
28,MEDIUM,CHG_00002,DEMOLITION,1,1,1200.0,4159510500103070000,204438.34,514954.53,127.050016,37.23374,STRADDLES_BASELINE,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
29,MEDIUM,CHG_00003,OTHER_CHANGE,1,0,1600.0,4159510500101960002,204643.34,514944.53,127.052326,37.233649,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
30,MEDIUM,CHG_00016,OTHER_CHANGE,1,0,900.0,4159510500102340003,204478.34,514429.53,127.050464,37.229009,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
31,MEDIUM,CHG_00028,OTHER_CHANGE,1,0,900.0,4159510500106190000,204738.34,513889.53,127.05339,37.224142,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
32,MEDIUM,CHG_00021,EXPANSION_OR_RECONSTRUCTION,1,1,20.02,4159510600101960006,203355.58,514293.09,127.037811,37.227784,STRADDLES_BASELINE,B_MODERATE,1,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
33,MEDIUM,CHG_00015,OTHER_CHANGE,1,0,5100.0,4159510600102920008,203153.83,514458.16,127.035539,37.229272,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
34,MEDIUM,CHG_00026,EXPANSION_OR_RECONSTRUCTION,1,1,11.71,4159510600104290001,202931.38,514043.44,127.03303,37.225536,STRADDLES_BASELINE,NONE,1,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
35,MEDIUM,CHG_00030,DEMOLITION,1,1,1500.0,4159510600105090013,202602.34,513715.53,127.029322,37.222583,STRADDLES_BASELINE,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
36,MEDIUM,CHG_00032,OTHER_CHANGE,1,0,4600.0,4159510100106920084,202592.26,513548.88,127.029207,37.221081,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
37,MEDIUM,CHG_00034,OTHER_CHANGE,1,0,3600.0,4159510100106920030,203303.34,513492.86,127.037219,37.220574,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
38,MEDIUM,CHG_00004,OTHER_CHANGE,1,0,4400.0,4159510600101110004,203264.48,514953.62,127.036788,37.233736,STRADDLES_BASELINE,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요,,,,,
39,LOW,OID_246,OTHER_CHANGE,1,0,0.0,4159510600101180007,203625.81,514965.83,127.04086,37.233845,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
40,LOW,OID_241,OTHER_CHANGE,1,0,0.0,4159510600101220000,203701.65,514947.83,127.041714,37.233683,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
41,LOW,OID_218,OTHER_CHANGE,1,0,0.0,4159510600101470000,203968.54,514835.11,127.044721,37.232666,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
