id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4108585120,415950032298,4159011600000700000030997,경기도,화성시 병점구,진안동,진안북길,26,7,,,0,,,1.0,0.0,26-7,41595,4431225,101,4159510100100700000,127.03699379348504,37.222604191756076,,동물및식물관련시설,876.8,913.9,2.0,0.0,20060712,20070312,20080526,True,road_address,0.6,330.13,61.4,0.186,0.6687,False,CHG_00029,-156.11,EXPANSION_OR_RECONSTRUCTION,사용승인일=2008-05-26로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,0.6687,1.0,0.5433,MEDIUM,0.20673361893869463,0.369,NOT_SIG
lt_c_spbd.4108584281,415950032305,4159011600100830000000001,경기도,화성시 병점구,진안동,진안북길,36,0,,,0,,,1.0,0.0,36,41595,4431225,101,4159510100100830000,127.03648785711752,37.22281795173315,,,,,,,,,,False,,1.0,215.59,0.06,0.0003,0.6687,False,CHG_00029,-156.11,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.00 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-156.1(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6687,1.0,0.5676,MEDIUM,0.20825243896122295,0.387,NOT_SIG
lt_c_spbd.4108585067,415950027803,4159011900002630000024342,경기도,화성시 병점구,기산동,기산말길,102,5,,,0,,,1.0,0.0,102-5,41595,4430171,104,4159510400102630000,127.04493127436265,37.22416627073151,,공장,405.0,405.0,1.0,0.0, , ,20000710,True,pnu,0.6,183.01,2.34,0.0128,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2000-07-10로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.6238,MEDIUM,-0.15405962770326437,0.671,NOT_SIG
lt_c_spbd.4108585068,415950033159,4159011900002620006024281,경기도,화성시 병점구,기산동,기산말길,102,7,,,0,,,1.0,0.0,102-7,41595,4430171,104,4159510400102620006,127.04470845359458,37.22418066546017,,제2종근린생활시설,198.0,198.0,1.0,0.0, , ,20000906,True,pnu,0.6,183.96,10.5,0.0571,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2000-09-06로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.6371,MEDIUM,0.22054998172427673,0.423,NOT_SIG
lt_c_spbd.4108583501,415950027820,4159011900003590008030915,경기도,화성시 병점구,기산동,기산말길,86,13,,,0,,,2.0,0.0,86-13,41595,4430171,104,4159510400103590008,127.04378152153919,37.224190179483884,,단독주택,122.85,222.38,2.0,0.0,20060823,20060920,20061229,True,pnu,0.6,123.67,123.67,1.0,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2006-12-29로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.92,HIGH,1.021262098762509,0.003,HOT_99
lt_c_spbd.4108585070,415950027800,4159011900002620003024229,경기도,화성시 병점구,기산동,기산말길,102,9,,,0,,,1.0,0.0,102-9,41595,4430171,104,4159510400102620003,127.04458365908869,37.22425898426899,,공장,195.0,390.0,2.0,0.0, , ,20041214,True,pnu,0.6,176.64,112.1,0.6346,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2004-12-14로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.8104,HIGH,-0.19188314568365467,0.445,NOT_SIG
lt_c_spbd.4108585071,415950027802,4159011900002620004024149,경기도,화성시 병점구,기산동,기산말길,102,9,,가동,0,,,1.0,0.0,102-9,41595,4430171,104,4159510400102620003,127.04434584639718,37.22445917615134,,공장,195.0,390.0,2.0,0.0, , ,20041214,True,pnu,0.6,278.8,203.9,0.7313,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2004-12-14로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.8394,HIGH,0.13696588629092848,0.855,NOT_SIG
lt_c_spbd.4108585072,415950027801,4159011900002620004024144,경기도,화성시 병점구,기산동,기산말길,102,9,,,0,,,1.0,0.0,102-9,41595,4430171,104,4159510400102620003,127.04414722932538,37.22444140500524,,공장,195.0,390.0,2.0,0.0, , ,20041214,True,pnu,0.6,444.89,436.85,0.9819,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2004-12-14로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.9146,HIGH,0.5679188191348551,0.111,NOT_SIG
lt_c_spbd.4108583502,415950106307,4159011900103600007000001,경기도,화성시 병점구,기산동,기산말길,86,14,,,0,,,1.0,0.0,86-14,41595,4430171,104,4159510400103600007,127.04382489176439,37.22446884217409,,제2종근린생활시설,164.5,493.5,3.0,0.0,20121009,20121101,20130325,True,pnu,0.6,191.37,191.37,1.0,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2013-03-25로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.92,HIGH,1.060751419348253,0.003,HOT_99
lt_c_spbd.4108583500,415950027830,4159011900003610001024089,경기도,화성시 병점구,기산동,기산말길,86,8,,이동,0,,,1.0,0.0,86-8,41595,4430171,104,4159510400103610001,127.04393689103247,37.224502575202244,,공장,206.59,206.59,1.0,0.0, , ,20020624,True,pnu,0.6,8.1,8.1,1.0,1.0,False,CHG_00027,-1605.16,EXPANSION_OR_RECONSTRUCTION,사용승인일=2002-06-24로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,,,,1.0,1.0,0.92,HIGH,0.945174115053253,0.003,HOT_99
